model,bucket,repo,instance_id,nonempty_patch,patch_chars,gold_patch_chars,patch_text_aed,generated_file_count,gold_file_count,prompt_chars,file_precision,file_recall,extra_file_count,missing_file_count,generated_files,gold_files
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-11781,True,1165,1185,614,1,1,7467,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-7041,True,2605,1284,1613,1,1,2883,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-1053,True,903,1885,1154,1,1,2132,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-174,True,1425,1412,802,1,1,1237,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]","[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,two_file,apache/dubbo,apache__dubbo-10638,True,2641,2639,,2,2,4796,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1142,True,1969,2836,,1,2,4135,1.0,0.5,0,1,"[""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1208,True,2649,2111,,2,2,2872,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/JsonFactory.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/JsonFactory.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1263,True,2805,3859,,2,2,4661,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,three_plus_file,apache/dubbo,apache__dubbo-9187,True,4168,14298,,2,8,13897,1.0,0.25,0,6,"[""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/Inject.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/config/Environment.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/DisableInject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/Inject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java"", ""dubbo-configcenter/dubbo-configcenter-zookeeper/src/main/java/org/apache/dubbo/configcenter/support/zookeeper/ZookeeperDynamicConfigurationFactory.java"", ""dubbo-metadata/dubbo-metadata-report-zookeeper/src/main/java/org/apache/dubbo/metadata/store/zookeeper/ZookeeperMetadataReportFactory.java"", ""dubbo-registry/dubbo-registry-zookeeper/src/main/java/org/apache/dubbo/registry/zookeeper/ZookeeperRegistryFactory.java""]"
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,three_plus_file,fasterxml/jackson-databind,fasterxml__jackson-databind-4615,True,6705,19584,,4,5,16974,1.0,0.8,0,1,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/AnnotationIntrospectorPair.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/AnnotationIntrospectorPair.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/PotentialCreator.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-11781,True,1818,1185,930,1,1,7467,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-7041,True,1066,1284,580,1,1,2883,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-1053,True,798,1885,1210,1,1,2132,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-174,True,1181,1412,745,1,1,1237,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]","[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,apache/dubbo,apache__dubbo-10638,True,2215,2639,,2,2,4796,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1142,True,2579,2836,,2,2,4135,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1208,True,975,2111,1605,1,2,2872,1.0,0.5,0,1,"[""release-notes/VERSION-2.x""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/JsonFactory.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1263,True,3370,3859,,2,2,4661,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,three_plus_file,apache/dubbo,apache__dubbo-9187,True,9011,14298,,7,8,13897,1.0,0.875,0,1,"[""dubbo-common/src/main/java/org/apache/dubbo/common/config/Environment.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/DisableInject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java"", ""dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java"", ""dubbo-configcenter/dubbo-configcenter-zookeeper/src/main/java/org/apache/dubbo/configcenter/support/zookeeper/ZookeeperDynamicConfigurationFactory.java"", ""dubbo-metadata/dubbo-metadata-report-zookeeper/src/main/java/org/apache/dubbo/metadata/store/zookeeper/ZookeeperMetadataReportFactory.java"", ""dubbo-registry/dubbo-registry-zookeeper/src/main/java/org/apache/dubbo/registry/zookeeper/ZookeeperRegistryFactory.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/config/Environment.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/DisableInject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/Inject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java"", ""dubbo-configcenter/dubbo-configcenter-zookeeper/src/main/java/org/apache/dubbo/configcenter/support/zookeeper/ZookeeperDynamicConfigurationFactory.java"", ""dubbo-metadata/dubbo-metadata-report-zookeeper/src/main/java/org/apache/dubbo/metadata/store/zookeeper/ZookeeperMetadataReportFactory.java"", ""dubbo-registry/dubbo-registry-zookeeper/src/main/java/org/apache/dubbo/registry/zookeeper/ZookeeperRegistryFactory.java""]"
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,three_plus_file,fasterxml/jackson-databind,fasterxml__jackson-databind-4615,True,962,19584,,1,5,16974,1.0,0.2,0,4,"[""release-notes/VERSION-2.x""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/AnnotationIntrospectorPair.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/PotentialCreator.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-11781,True,1019,1185,361,1,1,7467,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-7041,True,854,1284,570,1,1,2883,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-1053,True,945,1885,952,1,1,2132,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-174,True,1076,1412,653,1,1,1237,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]","[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,apache/dubbo,apache__dubbo-10638,True,1844,2639,1275,2,2,4796,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1142,True,1872,2836,,2,2,4135,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1208,True,1173,2111,1553,1,2,2872,1.0,0.5,0,1,"[""release-notes/VERSION-2.x""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/JsonFactory.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1263,True,3173,3859,,2,2,4661,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,three_plus_file,apache/dubbo,apache__dubbo-9187,True,8768,14298,,5,8,13897,1.0,0.625,0,3,"[""dubbo-common/src/main/java/org/apache/dubbo/common/config/Environment.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/DisableInject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java"", ""dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java"", ""dubbo-configcenter/dubbo-configcenter-zookeeper/src/main/java/org/apache/dubbo/configcenter/support/zookeeper/ZookeeperDynamicConfigurationFactory.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/config/Environment.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/DisableInject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/Inject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java"", ""dubbo-configcenter/dubbo-configcenter-zookeeper/src/main/java/org/apache/dubbo/configcenter/support/zookeeper/ZookeeperDynamicConfigurationFactory.java"", ""dubbo-metadata/dubbo-metadata-report-zookeeper/src/main/java/org/apache/dubbo/metadata/store/zookeeper/ZookeeperMetadataReportFactory.java"", ""dubbo-registry/dubbo-registry-zookeeper/src/main/java/org/apache/dubbo/registry/zookeeper/ZookeeperRegistryFactory.java""]"
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,three_plus_file,fasterxml/jackson-databind,fasterxml__jackson-databind-4615,True,6604,19584,,5,5,16974,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/AnnotationIntrospectorPair.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/PotentialCreator.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/AnnotationIntrospectorPair.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/PotentialCreator.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-11781,True,1830,1185,940,1,1,7467,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,apache/dubbo,apache__dubbo-7041,True,1336,1284,598,1,1,2883,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-1053,True,941,1885,1110,1,1,2132,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,single_file,fasterxml/jackson-core,fasterxml__jackson-core-174,True,1226,1412,754,1,1,1237,1.0,1.0,0,0,"[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]","[""src/main/java/com/fasterxml/jackson/core/JsonPointer.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,apache/dubbo,apache__dubbo-10638,True,1987,2639,,2,2,4796,1.0,1.0,0,0,"[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/utils/CompatibleTypeUtils.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1142,True,3766,2836,,2,2,4135,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/Version.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/Version.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1208,True,2427,2111,,2,2,2872,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/JsonFactory.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/JsonFactory.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,two_file,fasterxml/jackson-core,fasterxml__jackson-core-1263,True,5821,3859,,2,2,4661,1.0,1.0,0,0,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/core/util/RecyclerPool.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,three_plus_file,apache/dubbo,apache__dubbo-9187,True,3927,14298,,3,8,13897,1.0,0.375,0,5,"[""dubbo-common/src/main/java/org/apache/dubbo/common/config/Environment.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/DisableInject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java""]","[""dubbo-common/src/main/java/org/apache/dubbo/common/config/Environment.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/DisableInject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java"", ""dubbo-common/src/main/java/org/apache/dubbo/common/extension/Inject.java"", ""dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java"", ""dubbo-configcenter/dubbo-configcenter-zookeeper/src/main/java/org/apache/dubbo/configcenter/support/zookeeper/ZookeeperDynamicConfigurationFactory.java"", ""dubbo-metadata/dubbo-metadata-report-zookeeper/src/main/java/org/apache/dubbo/metadata/store/zookeeper/ZookeeperMetadataReportFactory.java"", ""dubbo-registry/dubbo-registry-zookeeper/src/main/java/org/apache/dubbo/registry/zookeeper/ZookeeperRegistryFactory.java""]"
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,three_plus_file,fasterxml/jackson-databind,fasterxml__jackson-databind-4615,True,6737,19584,,4,5,16974,1.0,0.8,0,1,"[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/AnnotationIntrospectorPair.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java""]","[""release-notes/VERSION-2.x"", ""src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/AnnotationIntrospectorPair.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java"", ""src/main/java/com/fasterxml/jackson/databind/introspect/PotentialCreator.java""]"
